acct_num,status,gender,last_name,first_name,salary,city,state,
CU-45183405,RMS,M,SMITH, james,$257474,cohoes,NY,
CU-04251390,RM,M,SMITH, john,$278990,white%plains,NY,
CU-55235980,RMS,M,SMITH, robert,$341644,middletown,NY,
CU-78499934@,RM,M,SMITH, michael,$108903,olean,NY,
CU-44185123,RMS,M,SMITH, william,$216565,rye,NY,
CU-23748349,RMS,M,SMITH, david,$134271,amsterdam,NY,
CU-17008184,RMS,M,SMITH, richard,$280657,long%beach,NY,
CU-79869361,RMS,M,SMITH, joseph,$266942,niagara%falls,NY,
CU-11563180,RR,M,SMITH, thomas,$238296,white%plains,NY,
CU-40468657^,RMS,M,SMITH, charles,$234395,sherrill,NY,
CU-92157980^,RMS,M,SMITH, christopher,$156180,sherrill,NY,
CU-26594150,RMS,M,SMITH, daniel,$116543,elmira,NY,
CU-62815828,RMS,M,SMITH, matthew,$343866,rye,NY,
CU-17216350,RM,M,SMITH, anthony,$296086,fulton,NY,
CU-37785635,RMS,M,SMITH, donald,$303961,middletown,NY,
CU-07325267,RM,M,SMITH, mark,$218151,syracuse,NY,
CU-93275722,RM,M,SMITH, paul,$289153,binghamton,NY,
CU-37084832,RMS,M,SMITH, steven,$122497,plattsburgh,NY,
CU-06283403^,RM,M,SMITH, andrew,$251888,oneida,NY,
CU-33002221,RM,M,SMITH, kenneth,$93031,syracuse,NY,
CU-95525351,RMS,M,SMITH, joshua,$150929,corning,NY,
CU-06852250^,RM,M,SMITH, kevin,$168146,buffalo,NY,
CU-44826544,RMS,M,SMITH, brian,$180341,peekskill,NY,
CU-64240662,RM,M,SMITH, george,$200948,canandaigua,NY,
CU-77922426@,RMS,M,SMITH, edward,$282851,binghamton,NY,
CU-65325484@,RMS,M,SMITH, ronald,$117940,hudson,NY,
CU-78676250,RM,M,SMITH, timothy,$302503,elmira,NY,
CU-57454440,RM,M,SMITH, jason,$328478,middletown,NY,
CU-55664785,RMS,M,SMITH, jeffrey,$103336,oneonta,NY,
CU-13492581@,RM,M,SMITH, ryan,$230063,ogdensburg,NY,
CU-06084221^,RM,M,SMITH, jacob,$118329,dunkirk,NY,
CU-57175956,RMS,M,SMITH, gary,$53122,rochester,NY,
CU-36231403,RMS,M,SMITH, nicholas,$190651,lackawanna,NY,
CU-81204126,RM,M,SMITH, eric,$215923,lackawanna,NY,
CU-86693052,RM,M,SMITH, jonathan,$206708,watervliet,NY,
CU-68723001,RM,M,SMITH, stephen,$129927,mount%vernon,NY,
CU-18572674,RMS,M,SMITH, larry,$271716,plattsburgh,NY,
CU-74321794,RM,M,SMITH, justin,$154538,rensselaer,NY,
CU-36440616,RMS,M,SMITH, scott,$165454,batavia,NY,
CU-58886676@,RMS,M,SMITH, brandon,$108688,hudson,NY,
CU-38902600,RMS,M,SMITH, benjamin,$73880,rome,NY,
CU-08650375,RMS,M,SMITH, samuel,$184057,cohoes,NY,
CU-80347565@,RMS,M,SMITH, frank,$330204,corning,NY,
CU-34716314,RMS,M,SMITH, gregory,$190685,middletown,NY,
CU-44542009^,RMS,M,SMITH, raymond,$257092,rochester,NY,
CU-45316123^,RM,M,SMITH, alexander,$175111,beacon,NY,
CU-32785008,RR,M,SMITH, patrick,$144049,mount%vernon,NY,
CU-29292141^,RMS,M,SMITH, jack,$336384,troy,NY,
CU-06527721@,RM,M,SMITH, dennis,$214226,peekskill,NY,
CU-40777575,RMS,M,SMITH, jerry,$129408,buffalo,NY,
CU-32332356,RM,M,SMITH, tyler,$253816,salamanca,NY,
CU-04404342,RM,M,SMITH, aaron,$269912,oneida,NY,
CU-41623086,RMS,M,SMITH, jose,$66422,niagara%falls,NY,
CU-06436134,RM,M,SMITH, henry,$122060,binghamton,NY,
CU-08634251,RMS,M,SMITH, adam,$74911,glen%cove,NY,
CU-33497108,RM,M,SMITH, douglas,$102596,corning,NY,
CU-00708019,RM,M,SMITH, nathan,$109402,johnstown,NY,
CU-39478099,RM,M,SMITH, peter,$190375,north%tonawanda,NY,
CU-62795429^,RMS,M,SMITH, zachary,$250343,corning,NY,
CU-12727579,RM,M,SMITH, kyle,$164137,johnstown,NY,
CU-46411999,RMS,M,SMITH, walter,$341315,little%falls,NY,
CU-59181462,RM,M,SMITH, harold,$237967,rome,NY,
CU-89351358,RM,M,SMITH, jeremy,$298385,watervliet,NY,
CU-84261830,RM,M,SMITH, ethan,$210875,batavia,NY,
CU-69552028,RM,M,SMITH, carl,$176209,hornell,NY,
CU-66158070,RM,M,SMITH, keith,$56421,newburgh,NY,
CU-15500695,RM,M,SMITH, roger,$349084,cortland,NY,
CU-92351886^,RMS,M,SMITH, gerald,$170144,mount%vernon,NY,
CU-78518115,RM,M,SMITH, christian,$243137,dunkirk,NY,
CU-97911563^,RR,M,SMITH, terry,$71512,port%jervis,NY,
CU-26636784@,RMS,M,SMITH, sean,$148138,yonkers,NY,
CU-38732904^,RMS,M,SMITH, arthur,$254511,middletown,NY,
CU-56262733,RR,M,SMITH, austin,$284294,lockport,NY,
CU-60973635^,RM,M,SMITH, noah,$166279,sherrill,NY,
CU-16578844,RMS,M,SMITH, lawrence,$84830,plattsburgh,NY,
CU-03083033,RMS,M,SMITH, jesse,$345362,rye,NY,
CU-71698548,RMS,M,SMITH, joe,$300025,glen%cove,NY,
CU-64711477,RM,M,SMITH, bryan,$63554,rye,NY,
CU-43234740,RR,M,SMITH, billy,$153501,mechanicville,NY,
CU-63694846,RMS,M,SMITH, jordan,$226314,schenectady,NY,
CU-57546871,RR,M,SMITH, albert,$193369,ogdensburg,NY,
CU-55405720,RM,M,SMITH, dylan,$173475,beacon,NY,
CU-57279720,RMS,M,SMITH, bruce,$308944,tonawanda,NY,
CU-20723057,RR,M,SMITH, willie,$228816,glens%falls,NY,
CU-83729846,RMS,M,SMITH, gabriel,$345278,niagara%falls,NY,
CU-25516448^,RM,M,SMITH, alan,$285189,fulton,NY,
CU-05679165@,RMS,M,SMITH, juan,$260387,geneva,NY,
CU-90304798@,RMS,M,SMITH, logan,$227222,long%beach,NY,
CU-69226186,RM,M,SMITH, wayne,$212181,rye,NY,
CU-07358832,RR,M,SMITH, ralph,$93529,amsterdam,NY,
CU-45588179,RM,M,SMITH, roy,$287999,saratoga%springs,NY,
CU-84452117,RMS,M,SMITH, eugene,$78398,glen%cove,NY,
CU-02627721,RM,M,SMITH, randy,$262834,oneida,NY,
CU-82736766,RM,M,SMITH, vincent,$158315,schenectady,NY,
CU-93101088,RR,M,SMITH, russell,$241664,saratoga%springs,NY,
CU-13610486,RMS,M,SMITH, louis,$82500,hornell,NY,
CU-87466495,RMS,M,SMITH, philip,$57609,mechanicville,NY,
CU-32479603,RMS,M,SMITH, bobby,$50406,jamestown,NY,
CU-07230978,RR,M,SMITH, johnny,$76254,rome,NY,
CU-53083262,RMS,M,SMITH, bradley,$209046,yonkers,NY,
CU-05265035,RR,F,SMITH, mary,$113876,yonkers,NY,
CU-64948211,RMS,F,SMITH, patricia,$82761,yonkers,NY,
CU-26398520,RR,F,SMITH, jennifer,$218308,yonkers,NY,
CU-55184621,RMS,F,SMITH, linda,$172488,yonkers,NY,
CU-98966439,RM,F,SMITH, elizabeth,$244562,yonkers,NY,
CU-21506507,RR,F,SMITH, barbara,$137553,yonkers,NY,
CU-86252271,RR,F,SMITH, susan,$269712,yonkers,NY,
CU-41338146,RR,F,SMITH, jessica,$136494,yonkers,NY,
CU-08263847,RR,F,SMITH, sarah,$82964,yonkers,NY,
CU-34916849,RR,F,SMITH, karen,$202294,yonkers,NY,
CU-20375310,RM,F,SMITH, nancy,$110097,yonkers,NY,
CU-53646949,RMS,F,SMITH, lisa,$275931,yonkers,NY,
CU-46752035,RM,F,SMITH, margaret,$34281,yonkers,NY,
CU-18016233,RM,F,SMITH, betty,$232151,yonkers,NY,
CU-63523063,RR,F,SMITH, sandra,$109225,yonkers,NY,
CU-07582501,RR,F,SMITH, ashley,$103308,yonkers,NY,
CU-86067717,RR,F,SMITH, dorothy,$87196,yonkers,NY,
CU-56858435,RR,F,SMITH, kimberly,$41341,yonkers,NY,
CU-87762624,RMS,F,SMITH, emily,$86609,yonkers,NY,
CU-75880621,RR,F,SMITH, donna,$53455,yonkers,NY,
CU-92724993,RR,F,SMITH, michelle,$124910,yonkers,NY,
CU-95138288,RR,F,SMITH, carol,$224282,yonkers,NY,
CU-51033650,RR,F,SMITH, amanda,$247699,yonkers,NY,
CU-80954195,RR,F,SMITH, melissa,$169917,yonkers,NY,
CU-19547669,RR,F,SMITH, deborah,$43821,yonkers,NY,
CU-48212852,RMS,F,SMITH, stephanie,$99727,yonkers,NY,
CU-35787865,RM,F,SMITH, rebecca,$205197,yonkers,NY,
CU-78430159,RR,F,SMITH, laura,$186510,yonkers,NY,
CU-71455392,RMS,F,SMITH, sharon,$241043,yonkers,NY,
CU-11840527,RR,F,SMITH, cynthia,$247875,yonkers,NY,
CU-90666238,RR,F,SMITH, kathleen,$201432,yonkers,NY,
CU-33577084,RR,F,SMITH, amy,$102262,yonkers,NY,
CU-82658056,RR,F,SMITH, shirley,$189258,yonkers,NY,
CU-44757895,RR,F,SMITH, angela,$110206,yonkers,NY,
CU-57409196,RMS,F,SMITH, helen,$160494,yonkers,NY,
CU-62093726,RR,F,SMITH, anna,$64980,yonkers,NY,
CU-76694878,RMS,F,SMITH, brenda,$49541,yonkers,NY,
CU-70683588,RR,F,SMITH, pamela,$168183,yonkers,NY,
CU-51476956,RM,F,SMITH, nicole,$56564,yonkers,NY,
CU-86361680,RMS,F,SMITH, samantha,$122480,yonkers,NY,
CU-89607415,RR,F,SMITH, katherine,$227234,yonkers,NY,
CU-88633301,RR,F,SMITH, emma,$170503,yonkers,NY,
CU-02206520,RR,F,SMITH, ruth,$150269,yonkers,NY,
CU-92023597,RR,F,SMITH, christine,$158889,yonkers,NY,
CU-99720177,RMS,F,SMITH, catherine,$216960,yonkers,NY,
CU-44544182,RMS,F,SMITH, debra,$47842,yonkers,NY,
CU-72754540,RR,F,SMITH, rachel,$87637,yonkers,NY,
CU-13779001,RMS,F,SMITH, carolyn,$106578,yonkers,NY,
CU-79732490,RM,F,SMITH, janet,$141946,yonkers,NY,
CU-07446929,RMS,F,SMITH, virginia,$168308,yonkers,NY,
CU-19820444,RMS,F,SMITH, maria,$175284,yonkers,NY,
CU-07560831,RR,F,SMITH, heather,$249506,yonkers,NY,
CU-16205304,RMS,F,SMITH, diane,$70892,yonkers,NY,
CU-26443398,RR,F,SMITH, julie,$255043,yonkers,NY,
CU-70370711,RR,F,SMITH, joyce,$166973,yonkers,NY,
CU-88426972,RR,F,SMITH, victoria,$99913,yonkers,NY,
CU-34608193,RM,F,SMITH, kelly,$114401,yonkers,NY,
CU-59358240,RMS,F,SMITH, christina,$215514,yonkers,NY,
CU-10000652,RMS,F,SMITH, lauren,$195297,yonkers,NY,
CU-40075775,RR,F,SMITH, joan,$159170,yonkers,NY,
CU-16453082,RR,F,SMITH, evelyn,$201806,yonkers,NY,
CU-05469269,RR,F,SMITH, olivia,$57599,yonkers,NY,
CU-49724081,RR,F,SMITH, judith,$228041,yonkers,NY,
CU-97028099,RR,F,SMITH, megan,$108459,yonkers,NY,
CU-58413529,RR,F,SMITH, cheryl,$220137,yonkers,NY,
CU-96551244,RR,F,SMITH, martha,$74736,yonkers,NY,
CU-67501489,RR,F,SMITH, andrea,$89617,yonkers,NY,
CU-26986165,RM,F,SMITH, frances,$190091,yonkers,NY,
CU-42230253,RR,F,SMITH, hannah,$102832,yonkers,NY,
CU-91925492,RR,F,SMITH, jacqueline,$122578,yonkers,NY,
CU-54020187,RM,F,SMITH, ann,$136989,yonkers,NY,
CU-72181672,RMS,F,SMITH, gloria,$172846,yonkers,NY,
CU-16279350,RR,F,SMITH, jean,$210085,yonkers,NY,
CU-86369163,RMS,F,SMITH, kathryn,$107247,yonkers,NY,
CU-49090327,RM,F,SMITH, alice,$101518,yonkers,NY,
CU-95550738,RMS,F,SMITH, teresa,$187362,yonkers,NY,
CU-03394127,RR,F,SMITH, sara,$119905,yonkers,NY,
CU-80532017,RR,F,SMITH, janice,$87277,yonkers,NY,
CU-16700500,RR,F,SMITH, doris,$80779,yonkers,NY,
CU-77570617,RR,F,SMITH, madison,$71864,yonkers,NY,
CU-78220377,RR,F,SMITH, julia,$212645,yonkers,NY,
CU-72260328,RMS,F,SMITH, grace,$81731,yonkers,NY,
CU-49900281,RR,F,SMITH, judy,$30936,yonkers,NY,
CU-51897039,RR,F,SMITH, abigail,$95596,yonkers,NY,
CU-44162064,RR,F,SMITH, marie,$249597,yonkers,NY,
CU-01564799,RMS,F,SMITH, denise,$35777,yonkers,NY,
CU-37837232,RM,F,SMITH, beverly,$282229,yonkers,NY,
CU-67532801,RR,F,SMITH, amber,$50012,yonkers,NY,
CU-91580446,RM,F,SMITH, theresa,$105248,yonkers,NY,
CU-45639231,RM,F,SMITH, marilyn,$102424,yonkers,NY,
CU-62241739,RR,F,SMITH, danielle,$238975,yonkers,NY,
CU-60271056,RMS,F,SMITH, diana,$102546,yonkers,NY,
CU-49618286,RM,F,SMITH, brittany,$272461,yonkers,NY,
CU-65200782,RR,F,SMITH, natalie,$193966,yonkers,NY,
CU-32784007,RM,F,SMITH, sophia,$209817,yonkers,NY,
CU-85149581,RR,F,SMITH, rose,$194812,yonkers,NY,
CU-01397816,RM,F,SMITH, isabella,$96266,yonkers,NY,
CU-81751038,RR,F,SMITH, alexis,$96546,yonkers,NY,
